days	temp	pHcalc_insitu
30	26,283	8,1097
62	25,659	8,1092
99	24,61	8,1168
148	23,479	8,1316
177	24,278	8,1218
229	23,87	8,1158
266	25,755	8,1018
301	25,358	8,0991
327	26,202	8,093
356	26,33	8,099
382	26,136	8,0858
422	25,142	8,1101
461	23,982	8,1332
502	23,874	8,1229
534	23,237	8,134
559	23,435	8,1229
585	23,835	8,1167
620	24,667	8,1232
662	25,601	8,1084
713	26,399	8,085
779		
808	23,923	8,1212
855	23,302	8,1256
887	23,087	8,1263
921	23,433	8,1231
949	23,985	8,1144
977	24,605	8,1139
1012	25,496	8,112
1043	25,957	8,0992
1082	26,341	8,0943
1115	26,705	8,0981
1162	25,7	8,104
1191	24,214	8,1177
1232	23,014	8,1256
1252	23,834	8,119
1294	23,649	8,1099
1347	25,698	8,1152
1373	25,429	8,0977
1404	26,054	8,0956
1453	26,312	8,0933
1480	26,554	8,087
1515	25,694	8,1052
1537	24,845	8,1161
1572	23,123	8,1349
1600	23,666	8,1325
1657	23,492	8,1074
1693	23,877	8,1105
1759		
1810	26,456	8,0802
1855	25,688	8,094
1937	22,747	8,1508
1965	22,766	8,1357
1985	23,525	8,1204
2087	24,85	8,1021
2123	25,551	8,0858
2159	26,318	8,0883
2183	26,441	8,0875
2205	26,164	8,088
2240	25,2	8,1048
2319	23,367	8,1099
2345	23,086	8,1171
2378	23,826	8,1038
2409	23,294	8,1149
2493	25,648	8,0937
2523	25,944	8,0933
2551	26,821	8,0886
2582	26,054	8,0997
2603	25,659	8,1135
2664	24,764	8,1074
2734	23,186	8,1122
2762	24,153	8,1066
2790	25,172	8,0946
2825	26,327	8,0902
2856	26,293	8,0889
2881	26,953	8,0829
2923	27,277	8,0836
2951	26,516	8,0924
2993	24,235	8,1014
3021	23,48	8,1102
3062	23,894	8,0856
3084	23,117	8,1138
3112	23,432	8,1155
3140	24,695	8,101
3168	25,249	8,1058
3203	25,525	8,0895
3227	25,874	8,089
3281	26,8	8,0805
3352	24,451	8,1083
3389	23,509	8,1097
3428	22,859	8,1135
3455	24,462	8,1044
3483	23,302	8,1078
3511	23,044	8,105
3546	24,18	8,0937
3574	24,288	8,0805
3600	25,293	8,0818
3649	25,495	8,076
3670	25,687	8,0818
3693	25,222	8,0825
3721	23,742	8,0948
3756	23,462	8,0895
3792	23,108	8,0997
3819	23,337	8,135
3847	22,615	8,123
3873	23,666	8,1
3938	25,066	8,0938
3968	25,406	8,0759
4031	25,745	8,0711
4056	25,364	8,0824
4092	24,126	8,0818
4142	22,971	8,0966
4169	23,463	8,0946
4197	23,447	8,0942
4225	23,846	8,0941
4254	24,783	8,0677
4281	25,408	8,0831
4316	25,851	8,0872
4344	25,928	8,0827
4400	25,739	8,0678
4443	24,906	8,095
4463	24,749	8,0922
4491	24,403	8,0929
4519	23,354	8,0881
4554	23,693	8,0894
4582	23,565	8,0938
4610	23,788	8,0948
4639	24,926	8,0984
4666	25,967	8,0857
4694	25,73	8,0757
4749	26,165	8,068
4770	25,464	8,0885
4795	25,215	8,0814
4822	24,397	8,0925
4855	23,693	8,0959
4891	22,994	8,108
